Date,Series,Value
2019-04-04,Average Tone,-2.8825
2019-04-05,Average Tone,-3.7655
2019-04-06,Average Tone,-5.8873
2019-04-07,Average Tone,-2.9938
2019-04-08,Average Tone,-3.4404
2019-04-09,Average Tone,-3.5792
2019-04-10,Average Tone,-3.9194
2019-04-11,Average Tone,-3.8658
2019-04-12,Average Tone,-4.3627
2019-04-13,Average Tone,-4.3744
2019-04-14,Average Tone,-3.6997
2019-04-15,Average Tone,-3.1397
2019-04-16,Average Tone,-3.3257
2019-04-17,Average Tone,-2.7274
2019-04-18,Average Tone,-2.5032
2019-04-19,Average Tone,-2.2096
2019-04-20,Average Tone,-3.2538
2019-04-21,Average Tone,-3.1784
2019-04-22,Average Tone,-3.3635
2019-04-23,Average Tone,-3.1916
2019-04-24,Average Tone,-3.7455
2019-04-25,Average Tone,-3.4933
2019-04-26,Average Tone,-3.7224
2019-04-27,Average Tone,-1.7583
2019-04-28,Average Tone,-2.8576
2019-04-29,Average Tone,-2.7516
2019-04-30,Average Tone,-2.8
2019-05-01,Average Tone,-3.946
2019-05-02,Average Tone,-3.8344
2019-05-03,Average Tone,-2.7466
2019-05-04,Average Tone,-2.409
2019-05-05,Average Tone,-2.5142
2019-05-06,Average Tone,-3.0922
2019-05-07,Average Tone,-3.4742
2019-05-08,Average Tone,-3.4376
2019-05-09,Average Tone,-3.8385
2019-05-10,Average Tone,-3.8794
2019-05-11,Average Tone,-3.6554
2019-05-12,Average Tone,-1.9555
2019-05-13,Average Tone,-3.1923
2019-05-14,Average Tone,-3.064
2019-05-15,Average Tone,-4.1723
2019-05-16,Average Tone,-3.5547
2019-05-17,Average Tone,-4.3871
2019-05-18,Average Tone,-3.2276
2019-05-19,Average Tone,-2.9083
2019-05-20,Average Tone,-3.0246
2019-05-21,Average Tone,-3.0443
2019-05-22,Average Tone,-2.8156
2019-05-23,Average Tone,-3.7253
2019-05-24,Average Tone,-3.5798
2019-05-25,Average Tone,-3.6813
2019-05-26,Average Tone,-4.1007
2019-05-27,Average Tone,-2.8853
2019-05-28,Average Tone,-2.7183
2019-05-29,Average Tone,-3.2978
2019-05-30,Average Tone,-3.3521
2019-05-31,Average Tone,-3.442
2019-06-01,Average Tone,-4.3354
2019-06-02,Average Tone,-4.0908
2019-06-03,Average Tone,-2.7292
2019-06-04,Average Tone,-3.6127
2019-06-05,Average Tone,-3.3584
2019-06-06,Average Tone,-3.654
2019-06-07,Average Tone,-2.8902
2019-06-08,Average Tone,-3.6082
2019-06-09,Average Tone,-4.5335
2019-06-10,Average Tone,-3.2225
2019-06-11,Average Tone,-3.4508
2019-06-12,Average Tone,-2.6668
2019-06-13,Average Tone,-3.6562
2019-06-14,Average Tone,-3.9258
2019-06-15,Average Tone,-4.0082
2019-06-16,Average Tone,-5.0994
2019-06-17,Average Tone,-2.9812
2019-06-18,Average Tone,-3.4253
2019-06-19,Average Tone,-3.3782
2019-06-20,Average Tone,-3.4206
2019-06-21,Average Tone,-2.6077
2019-06-22,Average Tone,-5.373
2019-06-23,Average Tone,-4.0152
2019-06-24,Average Tone,-2.8589
2019-06-25,Average Tone,-3.032
2019-06-26,Average Tone,-4.2789
2019-06-27,Average Tone,-4.3739
2019-06-28,Average Tone,-4.5019
2019-06-29,Average Tone,-2.1558
2019-06-30,Average Tone,-2.9197
2019-07-01,Average Tone,-3.569
2019-07-02,Average Tone,-3.2839
2019-07-03,Average Tone,-3.5641
2019-07-04,Average Tone,-3.0689
2019-07-05,Average Tone,-3.692
2019-07-06,Average Tone,-3.7957
2019-07-07,Average Tone,-4.6844
2019-07-08,Average Tone,-2.6338
2019-07-09,Average Tone,-3.7422
2019-07-10,Average Tone,-3.0317
2019-07-11,Average Tone,-4.1127
2019-07-12,Average Tone,-3.7492
2019-07-13,Average Tone,-4.7274
2019-07-14,Average Tone,-3.8377
2019-07-15,Average Tone,-3.8189
2019-07-16,Average Tone,-2.5852
2019-07-17,Average Tone,-2.8903
2019-07-18,Average Tone,-3.6095
2019-07-19,Average Tone,-3.7841
2019-07-20,Average Tone,-3.3365
2019-07-21,Average Tone,-5.3279
2019-07-22,Average Tone,-3.4082
2019-07-23,Average Tone,-3.5387
2019-07-24,Average Tone,-3.0811
2019-07-25,Average Tone,-3.5475
2019-07-26,Average Tone,-3.3124
2019-07-27,Average Tone,-2.9745
2019-07-28,Average Tone,-3.0534
2019-07-29,Average Tone,-4.0162
2019-07-30,Average Tone,-3.7374
2019-07-31,Average Tone,-3.1464
2019-08-01,Average Tone,-3.4652
2019-08-02,Average Tone,-4.0361
2019-08-03,Average Tone,-4.1712
2019-08-04,Average Tone,-4.9101
2019-08-05,Average Tone,-4.4984
2019-08-06,Average Tone,-4.034
2019-08-07,Average Tone,-3.1438
2019-08-08,Average Tone,-3.6298
2019-08-09,Average Tone,-3.5023
2019-08-10,Average Tone,-5.7136
2019-08-11,Average Tone,-5.4261
2019-08-12,Average Tone,-3.4569
2019-08-13,Average Tone,-3.9181
2019-08-14,Average Tone,-4.0036
2019-08-15,Average Tone,-3.9429
2019-08-16,Average Tone,-4.3838
2019-08-17,Average Tone,-4.7385
2019-08-18,Average Tone,-4.8788
2019-08-19,Average Tone,-3.435
2019-08-20,Average Tone,-3.8614
2019-08-21,Average Tone,-4.1786
2019-08-22,Average Tone,-3.9801
2019-08-23,Average Tone,-3.107
2019-08-24,Average Tone,-4.8934
2019-08-25,Average Tone,-4.6032
2019-08-26,Average Tone,-2.4989
2019-08-27,Average Tone,-2.9173
2019-08-28,Average Tone,-2.6534
2019-08-29,Average Tone,-4.3731
2019-08-30,Average Tone,-3.9871
2019-08-31,Average Tone,-5.7441
2019-09-01,Average Tone,-5.0778
2019-09-02,Average Tone,-4.0561
2019-09-03,Average Tone,-3.4659
2019-09-04,Average Tone,-3.0494
2019-09-05,Average Tone,-4.2549
2019-09-06,Average Tone,-3.3464
2019-09-07,Average Tone,-2.4773
2019-09-08,Average Tone,-2.9758
2019-09-09,Average Tone,-2.9786
2019-09-10,Average Tone,-3.5589
2019-09-11,Average Tone,-4.0251
2019-09-12,Average Tone,-2.9508
2019-09-13,Average Tone,-3.498
2019-09-14,Average Tone,-4.3577
2019-09-15,Average Tone,-3.8585
2019-09-16,Average Tone,-1.681
2019-09-17,Average Tone,-2.9479
2019-09-18,Average Tone,-2.5306
2019-09-19,Average Tone,-4.1394
2019-09-20,Average Tone,-3.2106
2019-09-21,Average Tone,-2.4509
2019-09-22,Average Tone,-3.0719
2019-09-23,Average Tone,-2.7879
2019-09-24,Average Tone,-2.6631
2019-09-25,Average Tone,-3.0233
2019-09-26,Average Tone,-3.5144
2019-09-27,Average Tone,-2.4294
2019-09-28,Average Tone,-3.864
2019-09-29,Average Tone,-2.4471
2019-09-30,Average Tone,-2.5388
2019-10-01,Average Tone,-2.0444
2019-10-02,Average Tone,-2.2978
2019-10-03,Average Tone,-2.5229
2019-10-04,Average Tone,-2.495
2019-10-05,Average Tone,-1.6382
2019-10-06,Average Tone,-2.7283
2019-10-07,Average Tone,-1.2938
2019-10-08,Average Tone,-1.7541
2019-10-09,Average Tone,-1.8569
2019-10-10,Average Tone,-2.8069
2019-10-11,Average Tone,-2.179
2019-10-12,Average Tone,-2.6505
2019-10-13,Average Tone,-3.1582
2019-10-14,Average Tone,-2.8432
2019-10-15,Average Tone,-3.4199
2019-10-16,Average Tone,-3.2088
2019-10-17,Average Tone,-2.8212
2019-10-18,Average Tone,-2.3242
2019-10-19,Average Tone,-5.4479
2019-10-20,Average Tone,-2.3937
2019-10-21,Average Tone,-3.0318
2019-10-22,Average Tone,-2.7562
2019-10-23,Average Tone,-2.008
2019-10-24,Average Tone,-2.3305
2019-10-25,Average Tone,-2.6455
2019-10-26,Average Tone,-2.6273
2019-10-27,Average Tone,-2.6159
2019-10-28,Average Tone,-2.4848
2019-10-29,Average Tone,-2.8183
2019-10-30,Average Tone,-2.6059
2019-10-31,Average Tone,-1.9794
2019-11-01,Average Tone,-2.4355
2019-11-02,Average Tone,-2.406
2019-11-03,Average Tone,-2.7101
2019-11-04,Average Tone,-2.1864
2019-11-05,Average Tone,-1.173
2019-11-06,Average Tone,-2.9274
2019-11-07,Average Tone,-2.09
2019-11-08,Average Tone,-1.9375
2019-11-09,Average Tone,-1.7674
2019-11-10,Average Tone,-1.4539
2019-11-11,Average Tone,-2.2117
2019-11-12,Average Tone,-1.4562
2019-11-13,Average Tone,-2.3129
2019-11-14,Average Tone,-2.9722
2019-11-15,Average Tone,-2.4602
2019-11-16,Average Tone,-2.3465
2019-11-17,Average Tone,-1.9654
2019-11-18,Average Tone,-2.0402
2019-11-19,Average Tone,-2.409
2019-11-20,Average Tone,-2.0148
2019-11-21,Average Tone,-2.6382
2019-11-22,Average Tone,-1.3208
2019-11-23,Average Tone,-2.1891
2019-11-24,Average Tone,-2.5206
2019-11-25,Average Tone,-3.5
2019-11-26,Average Tone,-2.2272
2019-11-27,Average Tone,-2.7649
2019-11-28,Average Tone,-2.6564
2019-11-29,Average Tone,-1.7873
2019-11-30,Average Tone,-2.6601
2019-12-01,Average Tone,-2.5158
2019-12-02,Average Tone,-2.3338
2019-12-03,Average Tone,-1.7745
2019-12-04,Average Tone,-2.3198
2019-12-05,Average Tone,-2.224
2019-12-06,Average Tone,-1.5299
2019-12-07,Average Tone,-2.1048
2019-12-08,Average Tone,-2.1274
2019-12-09,Average Tone,-1.7405
2019-12-10,Average Tone,-1.9311
2019-12-11,Average Tone,-2.2314
2019-12-12,Average Tone,-2.3667
2019-12-13,Average Tone,-2.2074
2019-12-14,Average Tone,-1.9925
2019-12-15,Average Tone,-1.7385
2019-12-16,Average Tone,-2.6737
2019-12-17,Average Tone,-2.506
2019-12-18,Average Tone,-1.6179
2019-12-19,Average Tone,-2.999
2019-12-20,Average Tone,-2.2668
2019-12-21,Average Tone,-1.8913
2019-12-22,Average Tone,-2.5808
2019-12-23,Average Tone,-2.6183
2019-12-24,Average Tone,-1.5555
2019-12-25,Average Tone,-2.1787
2019-12-26,Average Tone,-3.8155
2019-12-27,Average Tone,-3.6726
2019-12-28,Average Tone,-2.5592
2019-12-29,Average Tone,-0.8834
2019-12-30,Average Tone,-2.2986
2019-12-31,Average Tone,-2.0283
2020-01-01,Average Tone,-1.341
2020-01-02,Average Tone,-1.8202
2020-01-03,Average Tone,-3.8734
2020-01-04,Average Tone,-2.2126
2020-01-05,Average Tone,-2.8764
2020-01-06,Average Tone,-3.3237
2020-01-07,Average Tone,-3.1699
2020-01-08,Average Tone,-2.604
2020-01-09,Average Tone,-1.8976
