Date,Series,Value
2022-04-05,Average Tone,-1.0638
2022-04-06,Average Tone,-1.613
2022-04-07,Average Tone,-1.5997
2022-04-08,Average Tone,-2.1749
2022-04-09,Average Tone,-1.8335
2022-04-10,Average Tone,-1.2996
2022-04-11,Average Tone,-1.9249
2022-04-12,Average Tone,-1.9226
2022-04-13,Average Tone,-3.4288
2022-04-14,Average Tone,-0.5729
2022-04-15,Average Tone,-0.9612
2022-04-16,Average Tone,-2.1117
2022-04-17,Average Tone,-1.7366
2022-04-18,Average Tone,-3.194
2022-04-19,Average Tone,-2.3806
2022-04-20,Average Tone,-2.7953
2022-04-21,Average Tone,-2.3377
2022-04-22,Average Tone,-2.4929
2022-04-23,Average Tone,-2.1129
2022-04-24,Average Tone,-1.3172
2022-04-25,Average Tone,-0.5125
2022-04-26,Average Tone,-0.7773
2022-04-27,Average Tone,-1.4131
2022-04-28,Average Tone,-1.3985
2022-04-29,Average Tone,-1.4255
2022-04-30,Average Tone,-1.8562
2022-05-01,Average Tone,-1.6006
2022-05-02,Average Tone,-1.8479
2022-05-03,Average Tone,-1.329
2022-05-04,Average Tone,-0.7571
2022-05-05,Average Tone,-1.9967
