Date,Series,Value
2022-03-03,Average Tone,-2.1013
2022-03-04,Average Tone,-2.1641
2022-03-05,Average Tone,-2.5878
2022-03-06,Average Tone,-2.4734
2022-03-07,Average Tone,-1.9872
2022-03-08,Average Tone,-1.935
2022-03-09,Average Tone,-2.0436
2022-03-10,Average Tone,-2.0383
2022-03-11,Average Tone,-2.1018
2022-03-12,Average Tone,-0.4747
2022-03-13,Average Tone,0.4972
2022-03-14,Average Tone,-2.3643
2022-03-15,Average Tone,-2.5748
2022-03-16,Average Tone,-1.99
2022-03-17,Average Tone,-2.0008
2022-03-18,Average Tone,-2.3997
2022-03-19,Average Tone,-2.1966
2022-03-20,Average Tone,-1.0719
2022-03-21,Average Tone,-1.39
2022-03-22,Average Tone,-2.6478
2022-03-23,Average Tone,-2.6411
2022-03-24,Average Tone,-2.0668
2022-03-25,Average Tone,-2.5786
2022-03-26,Average Tone,-2.2852
2022-03-27,Average Tone,-0.7922
2022-03-28,Average Tone,-1.3807
2022-03-29,Average Tone,-1.8004
2022-03-30,Average Tone,-1.99
2022-03-31,Average Tone,-1.3148
2022-04-01,Average Tone,-1.6041
2022-04-02,Average Tone,-1.1607
2022-04-03,Average Tone,-1.1857
