Date,Series,Value
2021-04-03,Average Tone,-1.942
2021-04-04,Average Tone,-3.3119
2021-04-05,Average Tone,-5.4108
2021-04-06,Average Tone,-3.6579
2021-04-07,Average Tone,-3.2838
2021-04-08,Average Tone,-2.5028
2021-04-09,Average Tone,-3.3315
2021-04-10,Average Tone,-3.0781
2021-04-11,Average Tone,-3.6122
2021-04-12,Average Tone,-3.5278
2021-04-13,Average Tone,-3.2951
2021-04-14,Average Tone,-2.0139
2021-04-15,Average Tone,-2.4363
2021-04-16,Average Tone,-4.0875
2021-04-17,Average Tone,-2.4595
2021-04-18,Average Tone,-3.9687
2021-04-19,Average Tone,-3.4988
2021-04-20,Average Tone,-3.3062
2021-04-21,Average Tone,-2.8204
2021-04-22,Average Tone,-3.6947
2021-04-23,Average Tone,-2.8264
2021-04-24,Average Tone,-3.1649
2021-04-25,Average Tone,-2.5531
2021-04-26,Average Tone,-3.4322
2021-04-27,Average Tone,-3.4351
2021-04-28,Average Tone,-2.5202
2021-04-29,Average Tone,-3.2543
2021-04-30,Average Tone,-2.8552
2021-05-01,Average Tone,-2.5441
2021-05-02,Average Tone,-3.3342
2021-05-03,Average Tone,-2.2606
2021-05-04,Average Tone,-2.402
2021-05-05,Average Tone,-3.9678
2021-05-06,Average Tone,-3.6408
2021-05-07,Average Tone,-2.7476
2021-05-08,Average Tone,-3.4351
2021-05-09,Average Tone,-2.8457
2021-05-10,Average Tone,-2.7459
2021-05-11,Average Tone,-2.0785
2021-05-12,Average Tone,-3.1553
2021-05-13,Average Tone,-2.5397
2021-05-14,Average Tone,-3.4211
2021-05-15,Average Tone,-2.3983
2021-05-16,Average Tone,-2.6738
2021-05-17,Average Tone,-2.2534
2021-05-18,Average Tone,-3.6301
2021-05-19,Average Tone,-4.8431
2021-05-20,Average Tone,-3.7192
2021-05-21,Average Tone,-3.9005
2021-05-22,Average Tone,-5.0311
2021-05-23,Average Tone,-3.3744
2021-05-24,Average Tone,-3.0079
2021-05-25,Average Tone,-2.2819
2021-05-26,Average Tone,-3.0878
2021-05-27,Average Tone,-2.9416
2021-05-28,Average Tone,-3.4143
2021-05-29,Average Tone,-5.0789
2021-05-30,Average Tone,-3.4414
2021-05-31,Average Tone,-2.2448
2021-06-01,Average Tone,-3.2177
2021-06-02,Average Tone,-2.2171
2021-06-03,Average Tone,-3.142
2021-06-04,Average Tone,-3.1576
2021-06-05,Average Tone,-4.4209
2021-06-06,Average Tone,-3.3926
2021-06-07,Average Tone,-2.6513
2021-06-08,Average Tone,-3.2834
2021-06-09,Average Tone,-3.3455
2021-06-10,Average Tone,-3.0696
2021-06-11,Average Tone,-2.6805
2021-06-12,Average Tone,-3.0225
2021-06-13,Average Tone,-2.2212
2021-06-14,Average Tone,-3.9658
2021-06-15,Average Tone,-3.3626
2021-06-16,Average Tone,-3.8079
2021-06-17,Average Tone,-2.9539
2021-06-18,Average Tone,-2.0689
2021-06-19,Average Tone,-3.063
2021-06-20,Average Tone,-3.2518
2021-06-21,Average Tone,-3.2589
2021-06-22,Average Tone,-3.5358
2021-06-23,Average Tone,-1.8655
2021-06-24,Average Tone,-3.3947
2021-06-25,Average Tone,-3.8711
2021-06-26,Average Tone,-2.5416
2021-06-27,Average Tone,-2.5474
2021-06-28,Average Tone,-2.3749
2021-06-29,Average Tone,-1.6212
2021-06-30,Average Tone,-3.2652
2021-07-01,Average Tone,-2.6396
2021-07-02,Average Tone,-2.436
2021-07-03,Average Tone,-2.671
2021-07-04,Average Tone,-1.6946
2021-07-05,Average Tone,-2.3584
2021-07-06,Average Tone,-0.9193
2021-07-07,Average Tone,-4.05
2021-07-08,Average Tone,-2.8186
2021-07-09,Average Tone,-3.3473
2021-07-10,Average Tone,-3.1698
2021-07-11,Average Tone,-2.4586
2021-07-12,Average Tone,-2.6129
2021-07-13,Average Tone,-4.8257
2021-07-14,Average Tone,-3.4312
2021-07-15,Average Tone,-3.2558
2021-07-16,Average Tone,-2.9563
2021-07-17,Average Tone,-3.1272
2021-07-18,Average Tone,-3.3236
2021-07-19,Average Tone,-3.321
2021-07-20,Average Tone,-4.2929
2021-07-21,Average Tone,-2.4015
2021-07-22,Average Tone,-3.1317
2021-07-23,Average Tone,-3.2101
2021-07-24,Average Tone,-2.8001
2021-07-25,Average Tone,-3.2188
2021-07-26,Average Tone,-2.1269
