Date,Series,Value
2022-01-03,Average Tone,-2.7621
2022-01-04,Average Tone,-2.8484
2022-01-05,Average Tone,-3.0473
2022-01-06,Average Tone,-1.9115
2022-01-07,Average Tone,-2.6911
2022-01-08,Average Tone,-3.5882
2022-01-09,Average Tone,-3.1232
2022-01-10,Average Tone,-2.5197
2022-01-11,Average Tone,-2.1114
2022-01-12,Average Tone,-1.7938
2022-01-13,Average Tone,-2.824
2022-01-14,Average Tone,-3.6184
2022-01-15,Average Tone,-3.9392
2022-01-16,Average Tone,-2.9878
2022-01-17,Average Tone,-2.9471
2022-01-18,Average Tone,-2.1233
2022-01-19,Average Tone,-2.1667
2022-01-20,Average Tone,-2.1745
2022-01-21,Average Tone,-4.0516
2022-01-22,Average Tone,-2.4426
2022-01-23,Average Tone,-4.2687
2022-01-24,Average Tone,-3.5477
2022-01-25,Average Tone,-2.4165
2022-01-26,Average Tone,-1.8874
2022-01-27,Average Tone,-2.901
2022-01-28,Average Tone,-2.5151
2022-01-29,Average Tone,-2.0333
2022-01-30,Average Tone,-3.5383
2022-01-31,Average Tone,-2.1878
2022-02-01,Average Tone,-2.4369
2022-02-02,Average Tone,-2.5589
2022-02-03,Average Tone,-2.9448
2022-02-04,Average Tone,-2.7216
2022-02-05,Average Tone,-3.4116
2022-02-06,Average Tone,-1.06
2022-02-07,Average Tone,-1.445
2022-02-08,Average Tone,-1.9608
2022-02-09,Average Tone,-2.1576
2022-02-10,Average Tone,-2.1803
2022-02-11,Average Tone,-4.1034
2022-02-12,Average Tone,-4.0381
2022-02-13,Average Tone,-1.7408
2022-02-14,Average Tone,-1.5788
2022-02-15,Average Tone,-2.2225
2022-02-16,Average Tone,-2.673
2022-02-17,Average Tone,-2.5693
2022-02-18,Average Tone,-1.6057
2022-02-19,Average Tone,-2.037
2022-02-20,Average Tone,-1.3712
2022-02-21,Average Tone,-1.2801
2022-02-22,Average Tone,-1.2499
2022-02-23,Average Tone,-2.296
2022-02-24,Average Tone,-1.9775
2022-02-25,Average Tone,-1.6699
2022-02-26,Average Tone,-1.9631
2022-02-27,Average Tone,-1.3483
2022-02-28,Average Tone,-1.9171
2022-03-01,Average Tone,-2.7546
2022-03-02,Average Tone,-2.852
2022-03-03,Average Tone,-2.4323
2022-03-04,Average Tone,-2.0662
2022-03-05,Average Tone,-2.921
2022-03-06,Average Tone,-2.3711
2022-03-07,Average Tone,-2.1567
2022-03-08,Average Tone,-2.8277
2022-03-09,Average Tone,-2.1119
2022-03-10,Average Tone,-2.3205
2022-03-11,Average Tone,-2.3184
2022-03-12,Average Tone,-2.2603
2022-03-13,Average Tone,-1.1965
2022-03-14,Average Tone,-2.5228
2022-03-15,Average Tone,-2.6233
2022-03-16,Average Tone,-1.9052
2022-03-17,Average Tone,-2.0355
2022-03-18,Average Tone,-2.0793
2022-03-19,Average Tone,-1.9802
2022-03-20,Average Tone,-1.0188
2022-03-21,Average Tone,-1.7489
2022-03-22,Average Tone,-2.3378
2022-03-23,Average Tone,-2.7194
2022-03-24,Average Tone,-2.5763
2022-03-25,Average Tone,-2.9055
2022-03-26,Average Tone,-2.9583
2022-03-27,Average Tone,-0.8633
2022-03-28,Average Tone,-1.3022
2022-03-29,Average Tone,-1.6364
2022-03-30,Average Tone,-1.7759
2022-03-31,Average Tone,-1.5289
2022-04-01,Average Tone,-2.5376
2022-04-02,Average Tone,-1.4252
2022-04-03,Average Tone,-1.0996
