Date,Series,Value
2019-04-04,Average Tone,-1.3376
2019-04-05,Average Tone,-2.5183
2019-04-06,Average Tone,-3.5294
2019-04-07,Average Tone,-2.6177
2019-04-08,Average Tone,-2.7976
2019-04-09,Average Tone,-4.7583
2019-04-10,Average Tone,-2.6026
2019-04-11,Average Tone,-4.2125
2019-04-12,Average Tone,-3.8564
2019-04-13,Average Tone,-2.8222
2019-04-14,Average Tone,-3.2643
2019-04-15,Average Tone,-2.5924
2019-04-16,Average Tone,-2.9092
2019-04-17,Average Tone,-2.3445
2019-04-18,Average Tone,-1.9869
2019-04-19,Average Tone,-2.7537
2019-04-20,Average Tone,-2.6676
2019-04-21,Average Tone,-2.8761
2019-04-22,Average Tone,-3.4822
2019-04-23,Average Tone,-3.5845
2019-04-24,Average Tone,-3.2677
2019-04-25,Average Tone,-2.7365
2019-04-26,Average Tone,-3.6617
2019-04-27,Average Tone,-1.744
2019-04-28,Average Tone,-2.4022
2019-04-29,Average Tone,-5.1699
2019-04-30,Average Tone,-2.3273
2019-05-01,Average Tone,-3.1419
2019-05-02,Average Tone,-2.7541
2019-05-03,Average Tone,-2.7148
2019-05-04,Average Tone,-2.1891
2019-05-05,Average Tone,-1.8414
2019-05-06,Average Tone,-1.5384
2019-05-07,Average Tone,-2.2307
2019-05-08,Average Tone,-1.97
2019-05-09,Average Tone,-4.0562
2019-05-10,Average Tone,-5.0757
2019-05-11,Average Tone,-3.9208
2019-05-12,Average Tone,-2.2277
2019-05-13,Average Tone,-2.8065
2019-05-14,Average Tone,-2.4692
2019-05-15,Average Tone,-3.6183
2019-05-16,Average Tone,-3.1891
2019-05-17,Average Tone,-3.9769
2019-05-18,Average Tone,-2.9087
2019-05-19,Average Tone,-2.1872
2019-05-20,Average Tone,-2.2466
2019-05-21,Average Tone,-2.5531
2019-05-22,Average Tone,-6.8422
2019-05-23,Average Tone,-5.0615
2019-05-24,Average Tone,-3.233
2019-05-25,Average Tone,-2.2411
