Date,Series,Value
2022-04-05,Average Tone,-1.2879
2022-04-06,Average Tone,-1.8194
2022-04-07,Average Tone,-2.1699
2022-04-08,Average Tone,-2.4151
2022-04-09,Average Tone,-2.9385
2022-04-10,Average Tone,-1.791
2022-04-11,Average Tone,-1.6202
2022-04-12,Average Tone,-1.9167
2022-04-13,Average Tone,-2.6389
2022-04-14,Average Tone,-0.8141
2022-04-15,Average Tone,-2.0556
2022-04-16,Average Tone,-2.2775
2022-04-17,Average Tone,-2.7623
2022-04-18,Average Tone,-1.942
2022-04-19,Average Tone,-3.1917
2022-04-20,Average Tone,-3.2259
2022-04-21,Average Tone,-2.5804
2022-04-22,Average Tone,-3.2877
2022-04-23,Average Tone,-2.5136
2022-04-24,Average Tone,-1.9424
2022-04-25,Average Tone,-0.8012
2022-04-26,Average Tone,-1.5373
2022-04-27,Average Tone,-2.0217
2022-04-28,Average Tone,-2.3328
2022-04-29,Average Tone,-2.6081
2022-04-30,Average Tone,-3.2281
2022-05-01,Average Tone,-2.474
2022-05-02,Average Tone,-1.7974
2022-05-03,Average Tone,-2.0255
2022-05-04,Average Tone,-1.6652
2022-05-05,Average Tone,-2.6221
