Date,Series,Value
2022-03-03,Average Tone,-2.8557
2022-03-04,Average Tone,-2.7881
2022-03-05,Average Tone,-3.2556
2022-03-06,Average Tone,-2.226
2022-03-07,Average Tone,-2.6473
2022-03-08,Average Tone,-3.7166
2022-03-09,Average Tone,-2.7687
2022-03-10,Average Tone,-3.0871
2022-03-11,Average Tone,-3.4492
2022-03-12,Average Tone,-3.4822
2022-03-13,Average Tone,-2.3385
2022-03-14,Average Tone,-4.0832
2022-03-15,Average Tone,-3.0517
2022-03-16,Average Tone,-2.8582
2022-03-17,Average Tone,-3.2576
2022-03-18,Average Tone,-2.7409
2022-03-19,Average Tone,-2.6846
2022-03-20,Average Tone,-1.8304
2022-03-21,Average Tone,-2.5715
2022-03-22,Average Tone,-3.1843
2022-03-23,Average Tone,-3.4842
2022-03-24,Average Tone,-3.1475
2022-03-25,Average Tone,-3.4947
2022-03-26,Average Tone,-3.6769
2022-03-27,Average Tone,-1.842
2022-03-28,Average Tone,-1.9605
2022-03-29,Average Tone,-2.0972
2022-03-30,Average Tone,-2.0553
2022-03-31,Average Tone,-2.4991
2022-04-01,Average Tone,-3.1034
2022-04-02,Average Tone,-2.9875
2022-04-03,Average Tone,-2.4502
